rule,Def,num,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
"A1, Alc1->S1, I4","atmcond=Clear, alcres=Yes->gender=Male, injury=Fatal Injury (K)",4,0.101738905,0.665534805,2.070771685,0.056683776,0.655483871,2.098766149,0.056656239,0.685834502,2.15959051,0.056592966,0.674863388,2.128209001,0.062970127,0.68618267,2.1624165,0.075980608,0.661042945,2.161871493,0.102788448,0.6640625,2.093136911
"S1, P1, Ag5, Alc0->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",5,,,,0.055456371,0.674355495,1.492609027,0.058857606,0.650448143,1.424154725,0.058884179,0.664941785,1.47129958,0.05405115,0.662714097,1.458660689,,,,,,
"A1, P1->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",3,0.215676097,0.507842738,1.143610794,,,,,,,,,,,,,,,,,,
"S2, Alc0->A1, I4","gender=Fenale, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",4,,,,0.051550993,0.555956679,1.669733162,,,,,,,,,,,,,,,
"D-1, S1, Ag5->N1, I4","druginv=Blank, gender=Male, age=45+->numfatal=1, injury=Fatal Injury (K)",5,0.058915131,0.527089783,1.4248435,,,,,,,,,,,,,,,,0.062455541,0.53179891,1.450529506
"S1, P1, Ag5->N1, I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+->numfatal=1, injury=Fatal Injury (K)",5,0.075785103,0.504027618,1.362501224,,,,,,,,,,,,,,,,,,
"N1, P5->I4, F8","numfatal=1, ptype=Pedestrian->injury=Fatal Injury (K), fhevent=Pedestrian",4,,,,0.061147065,0.883870968,14.29828811,0.058278299,0.877835951,14.40418649,0.061519074,0.905564924,14.34605485,0.064367075,0.88478582,13.49806039,0.055090348,0.869262865,15.40904251,0.051216389,0.861244019,16.40564827
"N1, A1, D-1, Ag5->I4","numfatal=1, atmcond=Clear, druginv=Blank, age=45+->injury=Fatal Injury (K)",5,0.06436543,0.536409517,1.207940309,0.086029904,0.561953353,1.243819696,0.084810567,0.563076923,1.232855638,0.087982587,0.559359068,1.237679418,0.088974855,0.573010381,1.261219158,0.083825474,0.548759377,1.2511405,0.069853464,0.542841349,1.237836769
"N1, Ag5, Alc0->S1, I4","numfatal=1, age=45+, alcres=No->gender=Male, injury=Fatal Injury (K)",5,,,,0.067060924,0.51323655,1.643310454,0.069400996,0.50463353,1.589015686,0.070454806,0.525192143,1.656214675,,,,,,,,,
"S1, P1, Ag5, Alc0->N1, I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->numfatal=1, injury=Fatal Injury (K)",6,,,,0.051216246,0.622795115,1.576246773,0.054107288,0.597951344,1.511249796,0.053041586,0.598965071,1.531000324,,,,,,,,,
"S1, P1, D-1->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank->injury=Fatal Injury (K)",4,,,,,,,0.123624146,0.533233383,1.167513275,0.126131287,0.535505837,1.184899987,0.124758221,0.541763882,1.192444345,,,,,,
"S1, D-1, Alc0->I4","gender=Male, druginv=Blank, alcres=No->injury=Fatal Injury (K)",4,,,,0.085360411,0.777439024,1.720772669,0.085969181,0.764160659,1.673128018,0.087868026,0.789907312,1.747807586,0.078444015,0.789189189,1.737037511,0.073424416,0.763519707,1.740781968,,,
"N1, S1, P1, F12, Alc0->I4","numfatal=1, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",6,,,,,,,0.055381763,0.573141487,1.254891977,0.051895979,0.580769231,1.285053134,,,,,,,,,
"D-1, Alc0->N1, A1, I4","druginv=Blank, alcres=No->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",5,0.056060213,0.501547988,1.781073176,0.081566615,0.509052925,1.728735245,,,,,,,0.076187406,0.528709918,1.795684123,0.071485236,0.500308452,1.765474147,,,
"N1, S1, D-1, P1->I4","numfatal=1, gender=Male, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",5,,,,0.113813881,0.519877676,1.15068998,,,,,,,,,,0.109563684,0.527365295,1.202363197,,,
"P1, F12, Alc0->N1, I4","ptype=Driver of a Motor Vehicle In-Transport, fhevent=Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.071635796,0.532338308,1.347307518,0.077627158,0.507575758,1.282836417,0.072058655,0.518976898,1.326544463,0.070384698,0.526527331,1.341693139,0.06672543,0.507372654,1.35152448,,,
"A1, S1, D-1, Ag5->N1, I4","atmcond=Clear, gender=Male, druginv=Blank, age=45+->numfatal=1, injury=Fatal Injury (K)",6,,,,0.060477572,0.546370968,1.382823104,0.058973468,0.535789474,1.354143176,0.06415397,0.555004955,1.418634921,0.062862669,0.560344828,1.427866639,0.059321287,0.535828025,1.427323069,,,
"A1, P1, Alc1->I4","atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",4,0.087291288,0.744100295,1.675639063,,,,,,,0.051208615,0.78975265,1.74746537,0.055555556,0.797839506,1.75607721,0.066549141,0.755755756,1.723080597,0.09034002,0.756853397,1.725846724
"S1, Ag5, Alc0->P1, I4","gender=Male, age=45+, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,,,,0.055456371,0.560948081,1.917321398,0.058857606,0.548004315,1.826892716,0.058884179,0.545647558,1.86490115,0.05405115,0.551535088,1.863683924,,,,,,
"N1, Alc1->D-1, I4","numfatal=1, alcres=Yes->druginv=Blank, injury=Fatal Injury (K)",4,,,,0.053447891,0.50795334,1.787309712,,,,0.05384351,0.530474041,1.859641727,0.057489792,0.517909003,1.845906236,,,,,,
"N1, S1, D-1, Alc0->A1, I4","numfatal=1, gender=Male, druginv=Blank, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",6,,,,0.056349029,0.571266968,1.715715339,0.053759703,0.538283063,1.623880152,0.057165769,0.572904707,1.725038009,0.053406404,0.598074609,1.760177834,,,,,,
"N1, A1, D0, Alc0->I4","numfatal=1, atmcond=Clear, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",5,,,,0.053559473,0.620957309,1.374418228,,,,,,,,,,,,,,,
"D-1, P1, Alc0->S1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->gender=Male, injury=Fatal Injury (K)",5,,,,0.06036599,0.519193858,1.662384907,,,,,,,,,,,,,,,
"S1, Alc1->N1, I4","gender=Male, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",4,0.120598668,0.705108751,1.906069235,0.069627315,0.75,1.898192601,0.066272738,0.769851952,1.945707817,0.069882003,0.775095299,1.981202595,0.075435203,0.75483871,1.923474543,0.088232702,0.726942629,1.936408576,0.116019348,0.71284965,1.944361735
"N1, A1, D-1, Alc0->I4","numfatal=1, atmcond=Clear, druginv=Blank, alcres=No->injury=Fatal Injury (K)",5,0.056060213,0.783555018,1.764487133,0.081566615,0.780982906,1.728616647,0.074614761,0.754982415,1.653032274,0.077557567,0.801183432,1.772757966,0.076187406,0.795735129,1.751445391,0.071485236,0.788143829,1.796923581,0.054844217,0.761857708,1.737258013
"N1, S1, D-1, Alc1->I4","numfatal=1, gender=Male, druginv=Blank, alcres=Yes->injury=Fatal Injury (K)",5,,,,,,,,,,,,,,,,0.053415602,0.825613079,1.882351363,,,
"N1, A1, P1, Alc0->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,0.069642703,0.641945774,1.44559735,0.104440973,0.637168142,1.410299058,0.100335998,0.621233859,1.360190117,0.096345515,0.63663891,1.408674536,0.094670105,0.631088825,1.389052178,0.087439401,0.633461047,1.444255543,0.067719448,0.604060914,1.377435251
"A1, Alc1->P1, I4","atmcond=Clear, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,0.087291288,0.571024335,2.033416602,,,,,,,0.051208615,0.610655738,2.087084548,0.055555556,0.605386417,2.045652141,0.066549141,0.57898773,2.036148728,0.09034002,0.583639706,2.146169758
"A1, S1, Alc1->I4","atmcond=Clear, gender=Male, alcres=Yes->injury=Fatal Injury (K)",4,0.101738905,0.798913043,1.799071862,0.056683776,0.803797468,1.77911408,0.056656239,0.847487002,1.855570855,0.056592966,0.835871404,1.849511151,0.062970127,0.841954023,1.853175056,0.075980608,0.805607477,1.836739715,0.102788448,0.812710911,1.853218165
"S1, P1, Alc0->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",4,0.075525564,0.641911765,1.445520765,0.111024325,0.634161887,1.403645055,0.113660063,0.618927445,1.355140227,0.110551037,0.634451019,1.403833446,0.102514507,0.629287599,1.385087605,0.090877038,0.606114051,1.381905929,0.074690568,0.617283951,1.407587636
"D-1, P1, Alc1->N1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",5,0.057876979,0.684749232,1.851032829,,,,,,,,,,,,,,,,0.060250391,0.702321725,1.915645868
"A1, F12, Alc0->I4","atmcond=Clear, fhevent=Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",4,,,,0.070185227,0.651138716,1.441221333,0.073687869,0.632206759,1.384215256,0.071371291,0.641606591,1.419666396,0.070707071,0.668699187,1.471834114,0.069193477,0.654166667,1.49146319,,,
"N1, F12, Alc0->P1, I4","numfatal=1, fhevent=Motor Vehicle In-Transport, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,,,,0.071635796,0.565140845,1.931652271,0.077627158,0.56302521,1.876968168,0.072058655,0.553697183,1.892412964,0.070384698,0.570060923,1.926284294,0.06672543,0.554985337,1.951738578,,,
"N1, A1, P1, Ag3->I4","numfatal=1, atmcond=Clear, ptype=Driver of a Motor Vehicle In-Transport, age=20-30->injury=Fatal Injury (K)",5,0.05337832,0.503673469,1.134222021,,,,,,,,,,,,,,,,0.052852468,0.513121547,1.170066944
"A1, S1, P1->I4","atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",4,0.173803962,0.544887442,1.227031745,,,,,,,,,,,,,,,,0.170650164,0.528065155,1.204142733
"N1, S1, Ag5->I4","numfatal=1, gender=Male, age=45+->injury=Fatal Injury (K)",4,0.101133316,0.570522206,1.284758655,0.13523767,0.556218449,1.231126139,0.142509559,0.556309362,1.218038079,0.145033795,0.559187279,1.237299305,0.141306684,0.563169165,1.239558242,0.12728074,0.54655564,1.246116104,0.108905961,0.565361891,1.28919018
"D-1, P1, Alc0->N1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->numfatal=1, injury=Fatal Injury (K)",5,,,,0.074425351,0.640115163,1.620082489,,,,,,,,,,0.064257382,0.619897959,1.651266106,,,
"N1, D-1, Alc0->A1, I4","numfatal=1, druginv=Blank, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",5,0.056060213,0.605607477,1.792629148,0.081566615,0.578322785,1.736906433,0.074614761,0.543001686,1.638115189,0.077557567,0.563696919,1.697313007,0.076187406,0.598312236,1.760877189,0.071485236,0.576813656,1.74041248,0.054844217,0.585866261,1.718003317
"S1, Alc0->N1, I4","gender=Male, alcres=No->numfatal=1, injury=Fatal Injury (K)",4,0.085041959,0.599755949,1.621276663,0.132113368,0.626455026,1.585509728,0.131271,0.599470899,1.515090288,0.131630198,0.620745543,1.586672868,0.1194928,0.610653487,1.556062801,0.106743059,0.590731707,1.573573895,0.086996728,0.593977659,1.620127654
"S1, Ag3, Alc1->I4","gender=Male, age=20-30, alcres=Yes->injury=Fatal Injury (K)",4,0.054070421,0.773514851,1.741877687,,,,,,,,,,,,,,,,,,
"A1, S1, P1, Ag5->N1, I4","atmcond=Clear, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+->numfatal=1, injury=Fatal Injury (K)",6,0.05986677,0.515264334,1.392876621,,,,,,,,,,,,,,,,0.062455541,0.506343714,1.381098163
"D-1, P1, Alc0->A1, I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",5,,,,0.060477572,0.520153551,1.562203795,,,,,,,,,,0.054208903,0.522959184,1.577918069,,,
"N1, S1, Alc0->P1, I4","numfatal=1, gender=Male, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,0.066182196,0.537974684,1.915726854,0.101205088,0.527939464,1.804497895,0.102305642,0.524035608,1.74698777,0.099094971,0.52265861,1.786330074,0.092198582,0.527350953,1.781963677,0.080828559,0.501366867,1.763176413,0.066865842,0.517621145,1.903405195
"D-1, P1, Alc1->I4","druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",4,0.064797993,0.766632549,1.726379433,,,,,,,,,,,,,,,,0.066936975,0.78026534,1.77923279
"S1, P1->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",3,0.224586902,0.538254199,1.212094347,,,,,,,,,,,,,,,,0.216104709,0.520919067,1.187847566
"N1, P1, Alc1->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->gender=Male, injury=Fatal Injury (K)",5,0.091703435,0.658385093,2.048525785,0.0508815,0.633333333,2.027843277,,,,0.052927025,0.679411765,2.142552491,0.055448098,0.650693569,2.050577159,0.06575584,0.644214162,2.106834728,0.088490539,0.653704677,2.060488867
"N1, A1, S1, Ag5, Alc0->I4","numfatal=1, atmcond=Clear, gender=Male, age=45+, alcres=No->injury=Fatal Injury (K)",6,,,,0.050212006,0.730519481,1.616921606,,,,0.051895979,0.727126806,1.608894775,,,,,,,,,
"F12, Ag5, Alc0->I4","fhevent=Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",4,,,,0.050323588,0.702492212,1.554886442,0.053412119,0.64747191,1.417638269,0.051895979,0.674107143,1.491579531,0.052976574,0.702279202,1.545745094,,,,,,
"P5->A1, I4","ptype=Pedestrian->atmcond=Clear, injury=Fatal Injury (K)",3,,,,0.051439411,0.72943038,2.190735611,,,,,,,0.053191489,0.704125178,2.072292506,,,,,,
"N1, Ag3, Alc1->I4","numfatal=1, age=20-30, alcres=Yes->injury=Fatal Injury (K)",4,0.053551345,0.769900498,1.733738525,,,,,,,,,,,,,,,,,,
"D-1, S1, P1, Alc1->N1, I4","druginv=Blank, gender=Male, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",6,0.051215503,0.690781797,1.867340222,,,,,,,,,,,,,,,,0.052283397,0.710144928,1.93698436
"S1, Alc1->P1, I4","gender=Male, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,0.101738905,0.594840668,2.118226518,0.055679536,0.599759615,2.04997928,0.052601089,0.611036339,2.03702381,0.056707527,0.628970775,2.149681243,0.06017623,0.602150538,2.03471783,0.072631115,0.598402324,2.104424788,0.097880211,0.601398601,2.211473068
"N1, A1, S1, Alc0->I4","numfatal=1, atmcond=Clear, gender=Male, alcres=No->injury=Fatal Injury (K)",5,0.06730686,0.701532913,1.579781597,0.100535595,0.690421456,1.528169199,0.095469818,0.677631579,1.483672795,0.096918318,0.700331126,1.549604663,0.09004943,0.696591854,1.533227008,0.081798149,0.67985348,1.550027679,0.068715322,0.682685512,1.556722292
"A1, Alc1->D-1, I4","atmcond=Clear, alcres=Yes->druginv=Blank, injury=Fatal Injury (K)",4,,,,,,,,,,,,,,,,0.057470251,0.5,1.778213166,0.077393655,0.5,1.759009009
"S1, P1, D-1, Alc0->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->injury=Fatal Injury (K)",5,,,,,,,0.061058973,0.698938992,1.530325327,0.059800664,0.720994475,1.595325925,0.056522674,0.729542302,1.605752286,,,,,,
"S1, Alc1->A1, I4","gender=Male, alcres=Yes->atmcond=Clear, injury=Fatal Injury (K)",4,0.101738905,0.594840668,1.760758842,0.056683776,0.610576923,1.833776939,0.056656239,0.658142665,1.985469885,0.056592966,0.627700127,1.890029117,0.062970127,0.630107527,1.854453082,0.075980608,0.625998548,1.888817426,0.102788448,0.631555944,1.851984452
"N1, D-1, P1, Alc1->I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->injury=Fatal Injury (K)",5,0.057876979,0.772517321,1.739631349,,,,,,,,,,,,,,,,0.060250391,0.782809612,1.785034473
"D-1, Ag5->N1, I4","druginv=Blank, age=45+->numfatal=1, injury=Fatal Injury (K)",4,,,,0.118165588,0.516081871,1.30616372,0.117831074,0.503964321,1.273708947,0.120632375,0.512159533,1.30911876,0.120030088,0.513327206,1.308056675,,,,,,
"D0, Alc0->I4","druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",3,,,,0.077549654,0.619982159,1.372259844,0.077974742,0.599287622,1.312138881,0.073547944,0.603951082,1.33634702,0.075220288,0.606060606,1.333964049,0.061789335,0.595581988,1.357893419,0.050362783,0.577487765,1.316840714
"N1, P5->A1, I4","numfatal=1, ptype=Pedestrian->atmcond=Clear, injury=Fatal Injury (K)",4,,,,0.050100424,0.724193548,2.175007567,,,,,,,0.051579626,0.70901034,2.086669899,,,,,,
N2->I4,numfatal=2->injury=Fatal Injury (K),2,0.057876979,0.538213998,1.21200382,,,,,,,,,,0.050290135,0.577065351,1.270144314,,,,0.053492673,0.541007194,1.233654361
"N1, D-1, Alc0->S1, I4","numfatal=1, druginv=Blank, alcres=No->gender=Male, injury=Fatal Injury (K)",5,0.050177351,0.542056075,1.686575012,0.075987503,0.538765823,1.725051555,0.075541652,0.549747049,1.731071426,0.078703173,0.572023314,1.803898666,0.069954868,0.549367089,1.731259779,0.06460996,0.521337127,1.704978294,,,
"S1, P1, Ag3->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=20-30->injury=Fatal Injury (K)",4,0.067479886,0.546218487,1.230029124,,,,,,,,,,,,,,,,0.061601935,0.544311754,1.241189721
"N1, D-1, P1, Alc0->I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=No->injury=Fatal Injury (K)",5,,,,0.074425351,0.710330138,1.572234799,,,,,,,,,,0.064257382,0.697607656,1.5905062,,,
"A1, S1, Alc0->P1, I4","atmcond=Clear, gender=Male, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,0.060126309,0.545098039,1.94109311,0.083240348,0.524982407,1.794390667,0.082956784,0.528803545,1.762882734,0.082139993,0.526431718,1.799225711,0.076509779,0.52897474,1.787450592,0.069898634,0.516612378,1.816790895,0.058400911,0.514088917,1.890416425
"D-1, Alc0->P1, I4","druginv=Blank, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,,,,0.083463513,0.520891365,1.78040748,0.082725061,0.519272727,1.73110966,0.081108947,0.513415518,1.754739256,0.076402321,0.530201342,1.791595385,0.072454826,0.507094386,1.783318602,,,
"S1, D-1, Alc0->P1, I4","gender=Male, druginv=Blank, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,,,,0.06036599,0.549796748,1.879206123,0.061058973,0.542739444,1.809341112,0.059800664,0.537590113,1.837362607,0.056522674,0.568648649,1.9215121,0.050242398,0.522456462,1.837343013,,,
"S1, P1, Ag5->I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, age=45+->injury=Fatal Injury (K)",4,0.083657756,0.556386651,1.252926807,0.103548315,0.515269295,1.140489854,0.113312478,0.515007899,1.127608619,0.114216978,0.518730489,1.147781607,0.109176875,0.523171988,1.151522828,0.099691494,0.51014885,1.163110671,0.085645184,0.536064114,1.222382695
"S1, Ag5, Alc0->A1, I4","gender=Male, age=45+, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",5,,,,0.053559473,0.541760722,1.627097719,,,,0.057624012,0.533970276,1.607804946,0.052761659,0.538377193,1.584483921,,,,,,
"Alc1->S1, P1, I4","alcres=Yes->gender=Male, ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,,,,,,,,,,0.056707527,0.508735868,2.272648616,,,,,,,,,
Ag5->I4,age=45+->injury=Fatal Injury (K),2,0.162816853,0.535115155,1.205025536,0.214795805,0.550944476,1.219452802,0.225929788,0.541365908,1.185319419,0.223393287,0.548368954,1.213361875,0.22318934,0.548600106,1.20749115,0.203790216,0.536302482,1.222739481,0.171717172,0.535373697,1.220808343
"N1, D-1, P1, Alc1->S1, I4","numfatal=1, druginv=Blank, ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->gender=Male, injury=Fatal Injury (K)",6,0.051215503,0.683602771,2.126989081,,,,,,,,,,,,,,,,0.052283397,0.679297597,2.141158211
"A1, S1, Alc1->N1, P1, I4","atmcond=Clear, gender=Male, alcres=Yes->numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",6,0.069988753,0.549592391,2.200463613,,,,,,,,,,,,,0.051035699,0.541121495,2.123494765,0.070280267,0.55568054,2.288153787
"A1, D-1, Alc0->S1, I4","atmcond=Clear, druginv=Blank, alcres=No->gender=Male, injury=Fatal Injury (K)",5,,,,0.062486052,0.529300567,1.694745153,0.060827251,0.532454361,1.676619332,0.06415397,0.570264766,1.798353013,0.060391145,0.551521099,1.738047866,0.056059938,0.533109807,1.743479609,,,
"P5->N1, I4","ptype=Pedestrian->numfatal=1, injury=Fatal Injury (K)",3,0.050004326,0.879756469,2.378181717,0.065164026,0.924050633,2.338701432,0.062333449,0.895174709,2.262445948,0.064955894,0.931034483,2.379795022,0.067590802,0.894736842,2.279961953,0.058263552,0.89687924,2.389080765,0.054559681,0.893939394,2.438300349
"N1, P1, Ag5, Alc0->S1, I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->gender=Male, injury=Fatal Injury (K)",6,,,,,,,,,,0.053041586,0.50326087,1.587053515,,,,,,,,,
"S1, P1, D-1, Alc0->N1, I4","gender=Male, ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->numfatal=1, injury=Fatal Injury (K)",6,,,,,,,0.055613486,0.636604775,1.608941672,0.053958071,0.650552486,1.662861684,0.051901999,0.669902913,1.707041759,,,,,,
"P1, Alc1->N1, S1, I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->numfatal=1, gender=Male, injury=Fatal Injury (K)",5,0.091703435,0.590529248,2.145168943,0.0508815,0.588387097,2.109250065,,,,0.052927025,0.625169147,2.20488949,0.055448098,0.60210035,2.1435141,0.06575584,0.581449727,2.169916827,0.088490539,0.587346553,2.152481191
"N1, P1, D0, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, druginv=No(drugs not involved), alcres=No->injury=Fatal Injury (K)",5,,,,0.056683776,0.56381798,1.247946836,0.056887962,0.546770601,1.197152983,0.053499828,0.553317536,1.224311475,0.051042338,0.531319911,1.169456738,,,,,,
"A1, D-1, S1, Alc1->I4","atmcond=Clear, druginv=Blank, gender=Male, alcres=Yes->injury=Fatal Injury (K)",5,0.059953283,0.822064057,1.851205617,,,,,,,,,,,,,,,,0.062455541,0.835394862,1.904944196
"A1, Alc0->I4","atmcond=Clear, alcres=No->injury=Fatal Injury (K)",3,0.113418116,0.720725673,1.623001765,0.161571078,0.714708786,1.581926436,0.152473642,0.694825766,1.521319427,0.15454233,0.714891362,1.581821723,0.150870406,0.714867617,1.573452707,0.137152931,0.708883827,1.616215236,0.111751316,0.690549451,1.574654368
"A1, S1, Alc1->N1, I4","atmcond=Clear, gender=Male, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",5,0.090665282,0.711956522,1.924580317,0.051774158,0.734177215,1.858146344,0.051905921,0.776429809,1.962332558,0.052927025,0.781725888,1.998150887,0.057704707,0.771551724,1.966062526,0.067430586,0.714953271,1.904471674,0.090980225,0.719347582,1.962085429
"A1, S1, D-1, Alc0->N1, I4","atmcond=Clear, gender=Male, druginv=Blank, alcres=No->numfatal=1, injury=Fatal Injury (K)",6,,,,0.056349029,0.696551724,1.762919105,0.053759703,0.665710187,1.682502085,0.057165769,0.70480226,1.801528236,0.053406404,0.704964539,1.796385542,,,,,,
"S1, D-1, Alc0->N1, A1, I4","gender=Male, druginv=Blank, alcres=No->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",6,,,,0.056349029,0.513211382,1.742857297,,,,0.057165769,0.513903193,1.790048271,0.053406404,0.537297297,1.824849872,,,,,,
"N1, D-1, S1, P1->I4","numfatal=1, druginv=Blank, gender=Male, ptype=Driver of a Motor Vehicle In-Transport->injury=Fatal Injury (K)",5,0.115321395,0.579061685,1.303988705,,,,,,,,,,,,,,,,0.111964718,0.555987284,1.267813339
"N1, S1, D-1, Alc0->P1, I4","numfatal=1, gender=Male, druginv=Blank, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",6,,,,0.054563713,0.553167421,1.890727088,0.055613486,0.556844548,1.856363573,0.053958071,0.54075775,1.848188879,0.051901999,0.581227437,1.964016894,,,,,,
"S1, D-1, Alc0->N1, P1, I4","gender=Male, druginv=Blank, alcres=No->numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",6,,,,,,,,,,,,,0.051901999,0.522162162,1.962536786,,,,,,
"N1, Ag5->I4","numfatal=1, age=45+->injury=Fatal Injury (K)",3,0.141275197,0.524405909,1.18090939,0.194153091,0.544430538,1.205034943,0.202178195,0.536427913,1.17450769,0.199908351,0.539079395,1.192807106,0.199333763,0.537369641,1.18277244,0.181754077,0.526961411,1.201442364,0.151515152,0.526185771,1.199857188
"Alc1->N1, S1, I4","alcres=Yes->numfatal=1, gender=Male, injury=Fatal Injury (K)",4,0.120598668,0.589180051,2.140267821,0.069627315,0.608187135,2.18022924,0.066272738,0.62173913,2.218367274,0.069882003,0.62692703,2.21108931,0.075435203,0.623445826,2.219505301,0.088232702,0.59371293,2.215681971,0.116019348,0.587959625,2.154727948
"N1, D-1, Ag5, Alc0->I4","numfatal=1, druginv=Blank, age=45+, alcres=No->injury=Fatal Injury (K)",5,,,,0.057799598,0.814465409,1.802726351,0.055034179,0.805084746,1.762731213,0.056134723,0.820770519,1.816097811,0.052116914,0.817875211,1.800176611,,,,,,
"Ag5, Alc0->N1, I4","age=45+, alcres=No->numfatal=1, injury=Fatal Injury (K)",4,0.057703954,0.65200391,1.762514779,0.098750279,0.685515105,1.734986266,0.099177384,0.648976497,1.640209707,0.099094971,0.663343558,1.695556638,0.093488072,0.652663166,1.663111561,0.08356104,0.673295455,1.793504797,0.062455541,0.641812865,1.750602496
"P1, Alc1->N1, A1, I4","ptype=Driver of a Motor Vehicle In-Transport, alcres=Yes->numfatal=1, atmcond=Clear, injury=Fatal Injury (K)",5,0.079245609,0.510306407,1.812175654,,,,,,,,,,0.051364711,0.557759627,1.894347111,0.060202732,0.532346064,1.878527557,0.081732821,0.542492918,1.894278549
"A1, S1, Ag5, Alc0->I4","atmcond=Clear, gender=Male, age=45+, alcres=No->injury=Fatal Injury (K)",5,,,,0.053559473,0.725075529,1.60487204,0.053412119,0.709230769,1.55285915,0.057624012,0.724783862,1.603710603,0.052761659,0.733931241,1.615412518,,,,,,
